Source Path,File Size (KB),Last Modified,Language,Category,Priority,Target Path,Status,Notes
"docs/AI_ASK_VARIABLE_EXTRACTION_FIX.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/examples/deprecated-fields-validation-example.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/variableStore-initialization-fix.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/schema-build-configuration-fix.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/schema-additional-fields-fix.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/project-initialization-sample-script-fix.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/visual-editor-schema-compliance-fix.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/bugfix/topic-goal-strategy-field-clear-fix.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/target_variable_comprehensive_analysis.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/test/variable-extraction-test-report.md",12,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/test/ai-ask-variable-extraction-regression-tests.md",8,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/DEVELOPMENT_GUIDE.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/papers/paper-02-COCOA-CBT-Based-Conversational-Counseling-Agent.md",16,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/papers/paper-03-Script-Strategy-Aligned-Generation.md",24,2026-03-01,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/papers/SSAG介绍.md",16,2026-03-02,Chinese,TBD,TBD,TBD,TBD,TBD
"docs/papers/VRM-Verbal-Response-Modes-Translation.md",16,2026-03-02,Chinese,TBD,TBD,TBD,TBD,TBD
